formula,target
Zn2B2PbO6,0
HoTmO3,1
C3N4,1
Er6Nb4Al43,1
Cd5P3O13,1
YMg14V,1
Na2TiSiO5,0
CaMg6Sb,1
CsRb2MoF6,1
B8P2H18IrC8Cl,0
Mg3Si2H4O9,0
Nd4GaSbS9,0
Sr2LiYbUO6,1
Li6MnV3(PO4)6,1
Ta3(BiS3)2,0
Ce4Ni3Pt,1
Fe3P2H6O11,0
KMgSb,0
Tm2Pt,0
MoWSeS3,1
BaAlO5,0
Rb2TlCl5O,0
CeSe2,1
YSnAu,0
SiH7N2F5,1
Mg5Ag,1
PrCoNi,1
Li2CuSiO4,1
InGa5As4,1
MgMnSiO5,1
Fe7Pb7F34,0
CsK4GaO4,0
Hf2MnTc,1
Li2Fe2NiO6,1
Lu(Al2Fe)4,0
Yb2Be2SiO7,1
Yb3Si2ClO8,1
NaPt2Se3,0
Pu2InNi2,0
ThGe2,0
NaMo3P3O16,0
LiSn2P3O10,1
Al2GaN3,1
P2H4PbO8,1
MgTi11O20,1
Cs3(Cu4Se3)2,0
Ba2Ca7I18,1
LiTb4Al2(FeO6)2,1
Rb(CoS)2,0
RbP,0
Sm27Y5O48,1
K3P4H5O14,0
BaAlSi5N7O2,1
HfV2,1
Er2Ni7,0
Mg4Si3,1
Rb2(WO4)3,1
Be2Tl2Co(O3F4)2,1
TaAlCu,1
Na4P6PbO18,1
Rb2Cr(ICl)2,1
Tm4Ni13C4,0
FeMo3S4,0
AgBHC12(NF2)9,1
MgP3W3O13,1
Li9Mn2Co5O16,1
Li2Nb(PO4)2,1
KCo3Cu(AsO4)3,1
Te2Au,0
ZnSi4As2(H3C)12,0
Sr2Ti5Al17O38,1
MgFe8(O7F)2,1
Pr5As2ClO10,0
SrLiTa2O6F,1
Ni3S2,0
Si3P2Pt,0
NaIn2Bi,1
PrH16N7O19,0
Pu,0
Ga3Ag,1
KHoBeF6,0
CrGa2N3,1
Sr3Co3N5,1
ReSi2Tc,1
KNiPH2O5,0
SrLaEuNbO6,1
K30Ga9As19,1
Sc5Cl8,0
Li2SmPCO7,1
Cs2PH4Se3O2,0
Ba2EuBiO6,1
UTcC2,0
HoMgRh2,1
CaMoN3,1
Hf2Zn,0
Y3Tl5,0
DyCdGa,0
Mg(SnO2)4,1
Li4GeS4,1
Ba3Ca3(MoN4)2,1
Sr2YVCu2O7,1
Ba2La2TlCu2O9,1
Er4Zn5Ge6,0
In2O3,1
Sr3(CoO3)2,1
PrOs2,0
Fe3N,0
Gd2TiO5,0
K2AgC3(SN)3,0
Li4Ti2Nb3Fe3O16,1
Li2MnVP2(O4F)2,1
AgTeO3,0
YFe3(BO3)4,1
NaAu3,1
Th(SiRu)2,0
NClO,0
In2BiSe4I,0
Ba4Nb3O12,1
BeClO,1
LiB3H18N5,0
Li3CoPCO7,1
Rb3Tc,1
Er3Co6Sn5,1
NaEuTi8(PO4)12,1
LiP2WO7,1
Lu3Ru,0
TlBi,0
RbV3Cd3O11,0
YbSmO3,1
Lu5Ni2Sb,1
Mg14NbW,1
Li3VCr3O8,1
Ba2YCr3O7,1
NiC4S4(NO6)2,1
Mg6MnZnO8,1
SbXeO2F7,1
MgV2O4,1
LiCu5(PO4)2,1
Y(AgCl2)3,1
Fe7Co,1
ReRu2(NCl)10,1
Li2SmTl,1
RbCO2,0
CrRe5B2,1
Sr(CoGe)2,0
CaEuMg2,1
NaVCu3Se4,1
Sc2CoNi,1
Dy(AsO)2,1
Lu(CoGe)2,0
LiFeP2HO8,1
Mn6HO12,1
Li2TlCd,1
KMgV5(H8O11)2,0
Pm2ZnSi,1
K2TlNiF6,1
K57Se34,1
VO2,1
Gd3TaO7,1
LiMn(PO3)4,1
Ir2S3,1
La2O3,0
Lu2TcAu,1
TeMoWSeS2,1
Na5(SiO3)6,1
Ba3La7Ti3Cr7O30,1
ZnSiH12(OF)6,1
Nd13Mg2Si4B8O43,0
Mg2VW3S8,1
NaMg30SiO32,1
NaLa(SeO5)2,0
Gd3Sb4Au3,0
Li2FePCO7,1
Sm(Mn2Ni)4,0
YH24C9N6(ClO)3,0
Na2NpH2(CO3)3,0
FeH12C4NCl4,0
RbMg6Cd,1
Pt(NCl)2,1
LiNi2OF3,1
Li2NiP2O7,1
Li3Mn2F7,1
Ho6H40N8O49,0
Li5Fe8(BO3)8,1
LiBH4,1
SrMg30MnO32,1
K4CO4,1
CdInGaS4,0
Ca2Mo3O8,1
Th2SiGe,1
Fe2CoO4,1
LiMnO,1
LiMn2(PO4)3,1
Re3HgO9,1
LiPrSn2,0
KRb(InAu2)4,1
SrMg3SiN4,0
VCrC2,1
K2Sn2Hg3S8,0
KVH2SO7,0
TiZnP3WO12,1
AlFeO3,0
Ti3Nb2Cr(PO4)6,1
Li8Mn(O2F)2,1
Ba2GaBiSe5,0
Tb(SiIr)2,0
Na2CoP2O7,0
H4NClO4,0
YEr,1
Na2LiInF6,1
Er2Mn3Sb3O14,1
Dy(Mo3Se4)2,0
MgSnF5,1
PrScO3,0
Na3Ti,1
Li2Cr3FeO8,1
H11I(NO3)2,1
Rb2PrAgF6,1
Al2O3,1
Nb2Pd,1
KVH2SeO7,0
VSi7N10,1
K2CoC4S4N4O3,1
Rb3NbF6,1
K8La(PS4)4,1
P6H17S6(NO)7,1
ZrScFe4,1
Al(C2N3)3,1
Fe2CuO4,1
Er2(Ga3Co)3,0
Sc29S42,1
Ti2AlCr,1
Y2CdIn,1
Mg14ZnSb,1
La7(IO6)3,1
La6Sm2Cr5Fe3O20,1
CuSb2(XeF8)2,0
SmYFe4,1
Ca(GaN)2,1
YGePd2,1
PO4,1
Er4Si2S3O7,0
Ti2Mn4Si5,0
RbMg6CO8,1
MnAg2Sn3S8,1
MgAl(Bi3O5)4,1
LiAlH16(CN)4,0
LiYbGe2,0
DySCl,0
Yb6N8O33,1
NbVO5,1
Yb2Cu2O5,0
CsRb2YF6,1
Ti4NiBi2,0
Na3Cd2IrO6,0
NiSO9,0
SrLaCuS3,1
ThAs,0
Na5CuO4,1
Rb2AgMoBr6,1
CaF2,1
C,1
Ta2Co3Si,1
TaInRh2,1
Cu3B6H2O13,0
AlH12,1
Ti3Cr3Si5,1
ThSi,0
AlCo(WO4)2,1
Sr2Pr2Tl2Cu3O10,1
Ni,1
S2N,0
Lu10Mn13C18,0
YAg2Pb,1
Dy2S3O20,1
SrNi5N4,1
FeSiO4,1
Ti6Tl5AgSe27,0
TbAgTe2,0
Sr2CoO4,1
Er3(CuSn)4,0
Li9Mn2Co5O16,1
Dy3AlFeS7,0
K2Ga2Sb3,0
Ni2W4C,0
SrZnIn3,1
Li2Mn3O6,1
YbNi,0
BaLi2Tl,1
VNi3,1
U(PO3)4,0
K2Ag2SnSe4,0
SrGe7N10,1
TeMoWSe2S,1
RuOF4,0
Mn(CoN)4,1
Mo4O5,1
LiFe4(PO4)3,1
ErTl,0
ZnB4O7,0
KCa2P4H11O18,0
Mn4FeS5,1
VO2,1
MgMn6(OF2)4,1
RbSe,0
BaFeCoPbO5,0
CaSiO3,1
Na2Mg(SO6)2,0
SmErIn2,1
NaClO3,0
LaPr3,1
BC6BrNF5,1
Be13W,1
NdCdHg2,1
Sr2UO4,1
YTmRh2,1
KSn2F5,1
V2O5,1
Zr3As2,0
K2GdAuCl6,1
Mn6OF11,1
SmS3(NO3)3,1
Na6NiO4,1
KCeSnWO6,1
Ba(GdS2)2,0
Er6Al2Ge7,1
Na2P2H12O11F2,0
Mn3P6WO24,1
Ag5(Sn3S8)2,1
LiVFeP2(HO5)2,1
Mn2P2H7NO10,0
Ho(GaFe)6,1
Li4UF8,0
Ca3La3(BO3)5,0
Cs3AsF6,1
MgCu2(WO4)2,1
In12Se19N2,1
TbMgSe3,1
CaMg30SiO32,1
KCo2As2HO8,0
Sr2CaReO6,0
VZnNiP2O9,1
Ba2La3Ti3NbO15,1
Sc(CoSi)2,0
TbPmRh2,1
Na3MnPCO7,1
Nd2VFeO6,1
MgMn4Cu2(PO4)6,1
CeAlCo4,1
Mg(AgO2)2,1
Tm2WO6,1
ZrS2N,1
Sr3Li,1
ErPd,0
P3Pb5O12F,1
CuCl2,1
SiPt3,0
Li2Mn4OF8,1
CuTeO4,0
MgSbO3,1
K2Na2Eu4Nb2O13,0
PrInAg2,0
YbLuAl4,1
HoErCd2,1
Ho2AgRu,1
Ru3I,1
Pm2MgS4,1
Al12Ga(S2O33)2,1
BaAsAu,0
Li5Mn2CoO8,1
Ac3Si,1
Li2Mn2Si2O7,1
CsAsH6(CSe)2,0
HoPd2,0
Ba8Mn6Co2ClO22,1
K4BaTi6S20O,1
Mg3Zr,1
H5C2NO,0
LiFe2(BO3)2,1
BaH4(CO3)2,0
Ho3(Si3Pd10)2,1
MgInCu2,1
CeGd3,1
K3YF6,1
Li4Ti3(CoO4)3,1
NdMg2Ni9,0
MoRuN3,1
K3AlH6,1
Li2FeNiO4,1
Cs2LiBiF6,1
AlSn(WO4)2,1
UBrO5,0
Rb(CrS2)2,1
HoCoC,1
DyZr6(PO4)9,1
Sm2Mo8O45,1
CuRh2Pb,1
MnFe2Pb8F24,0
K4XeO15,1
ZnFeO2,1
Hf6Si7Ni16,0
Cs5Mo8P(H3O16)2,0
Na3(PO4)2,0
SmCO4,1
TiFe2Sb,1
Dy2MgS4,1
KAl3(SiO4)3,1
CuCO3,1
MnOF,1
CrH20S2(NO7)2,0
K3Cu2P4HO14,0
SrMnP2O7,1
LiFe2(ClO)2,1
CaMg2,1
LaGa4Fe9C,1
FeC4S2N3O5,1
Rb2NaH5(CO4)2,0
EuTl3,0
TaBr5,0
Ba2BiSbO6,1
Ba(InSe2)2,0
Li2MgMn3O8,0
Sr10P6O25,1
Na3AsO4,1
La2NiAs2O,1
MgMnCoS4,1
Li8PrO6,0
MoPCl9,0
Ti2O,1
Li7Mn4CoO12,1
Na6Ti11O24,1
HfInNi2,1
Na2FeO3,1
CaV(SiO3)2,1
Th3S,1
CrCoH18(CN2)6,0
Sb2(CN2)3,1
ScBRh3,0
Ga3Te3Cl,1
Mg30ZnCO32,1
Sm3GaO6,0
UTeS,0
Eu4C2N4F5,0
Tm2Ge3,1
NbIn(TeO4)2,0
Ni(AsO3)2,0
H7C2N4ClO5,0
SrCa7Ti3Mn5O20,1
ZnCrO4,1
Li8Mn7Fe(BO3)8,1
Na3CoC2ClO6,0
Li4Mn3(FeO4)3,1
Pb2SeN2O9,0
MgGaH5,1
Fe3Sn,1
FeCuBi2(AsO6)2,1
Mg14SbC,1
Nd3Th,1
YbAu,0
Sr2TiCu2O7,1
Ca2Co2O5,1
Y3Pd2,0
Sr2AlCO3F5,0
Er2ReC2,0
Gd2TeO2,0
PaC2,0
NaLi5Fe2P2(CO7)2,1
Sr2LiFe2N3,0
Li9Mn7O16,1
Li5Fe8(BO3)8,1
Nd3Lu,1
LiNd2(HO)6,1
Al2ZnS4,1
In2Ni3S2,0
Mg30CrCO32,1
Ba3LuRu2O9,0
Mn3SnO8,1
Li3NbF6,1
LiFe2C2O7,1
Mn2VO4,1
Li3Fe2(PO4)3,0
KCuF3,0
Li4TiFe3Sn2(PO4)6,1
TiCrSO8,1
RbRuF6,0
NaHSeO3,1
Ba2AlTlV2O7,1
YNb(TeO4)2,0
KMg30CrO32,1
Mg14NbSiO16,1
CsMg6V,1
